,Product Name,Price,Review
0,"MOTOROLA Edge 50 (Jungle Green, 256 GB)","₹27,999",4.3
1,"MOTOROLA Edge 50 (Koala Grey, 256 GB)","₹27,999",4.3
2,"realme 12 Pro 5G (Navigator Beige, 256 GB)","₹26,999",4.4
3,"realme 12 Pro 5G (Navigator Beige, 256 GB)","₹28,999",4.4
4,"realme 12 Pro 5G (Submarine Blue, 256 GB)","₹26,999",4.4
5,"realme 12 Pro 5G (Submarine Blue, 256 GB)","₹28,999",4.4
6,"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)","₹27,999",4.3
7,"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 256 GB)","₹27,815",4.3
8,"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 256 GB)","₹27,399",4.3
9,"Infinix GT 20 Pro (Mecha Orange, 256 GB)","₹25,999",4.3
10,"REDMI Note 13 Pro 5G (Coral Purple, 256 GB)","₹24,218",4.3
11,"Nothing Phone (2a) 5G (Black, 256 GB)","₹27,999",4.4
12,"Nothing Phone (2a) 5G (Blue, 256 GB)","₹27,999",4.4
13,"Nothing Phone (2a) 5G (Special Edition, 256 GB)","₹27,999",4.4
14,"REDMI Note 13 Pro 5G (Arctic White, 256 GB)","₹23,699",4.3
15,"Infinix GT 20 Pro (Mecha Silver, 256 GB)","₹25,999",4.3
16,"Infinix GT 20 Pro (Mecha Blue, 256 GB)","₹25,999",4.3
17,"Nothing Phone (2a) 5G (White, 256 GB)","₹25,999",4.4
18,"REDMI Note 13 Pro 5G (Arctic White, 128 GB)","₹21,333",4.3
19,"POCO X6 Pro 5G (Racing Grey, 512 GB)","₹25,999",4.3
20,"SAMSUNG Galaxy M34 5G (Waterfall Blue, 128 GB)","₹17,485",4.2
21,"REDMI Note 13 Pro 5G (Midnight Black, 128 GB)","₹21,167",4.3
22,"OnePlus Nord CE4 (Celadon Marble, 256 GB)","₹26,088",4.5
23,"OnePlus Nord CE4 (Dark Chrome, 256 GB)","₹25,199",4.5
